LABEL,LEGEND_TEXT,LEGEND_SUPPRESS,TITLE_TEXT,TITLE_SUPPRESS,COLOR,ALPHA,FILL_ALPHA,LINESTYLE,LINEWIDTH,MARKER,SIZE
160,Iteration 160,FALSE,Iteration 160,FALSE,black,1,1,solid,1,.,2
161,Iteration 161,FALSE,Iteration 161,FALSE,black,1,1,solid,1,.,2
162,Iteration 162,FALSE,Iteration 162,FALSE,black,1,1,solid,1,.,2
163,Iteration 163,FALSE,Iteration 163,FALSE,black,1,1,solid,1,.,2
164,Iteration 164,FALSE,Iteration 164,FALSE,black,1,1,solid,1,.,2
165,Iteration 165,FALSE,Iteration 165,FALSE,black,1,1,solid,1,.,2
166,Iteration 166,FALSE,Iteration 166,FALSE,black,1,1,solid,1,.,2
167,Iteration 167,FALSE,Iteration 167,FALSE,black,1,1,solid,1,.,2
168,Iteration 168,FALSE,Iteration 168,FALSE,black,1,1,solid,1,.,2
169,Iteration 169,FALSE,Iteration 169,FALSE,black,1,1,solid,1,.,2
170,Iteration 170,FALSE,Iteration 170,FALSE,black,1,1,solid,1,.,2
171,Iteration 171,FALSE,Iteration 171,FALSE,black,1,1,solid,1,.,2
172,Iteration 172,FALSE,Iteration 172,FALSE,black,1,1,solid,1,.,2
173,Iteration 173,FALSE,Iteration 173,FALSE,black,1,1,solid,1,.,2
174,Iteration 174,FALSE,Iteration 174,FALSE,black,1,1,solid,1,.,2
175,Iteration 175,FALSE,Iteration 175,FALSE,black,1,1,solid,1,.,2
176,Iteration 176,FALSE,Iteration 176,FALSE,black,1,1,solid,1,.,2
177,Iteration 177,FALSE,Iteration 177,FALSE,black,1,1,solid,1,.,2
178,Iteration 178,FALSE,Iteration 178,FALSE,black,1,1,solid,1,.,2
179,Iteration 179,FALSE,Iteration 179,FALSE,black,1,1,solid,1,.,2
180,Iteration 180,FALSE,Iteration 180,FALSE,black,1,1,solid,1,.,2
181,Iteration 181,FALSE,Iteration 181,FALSE,black,1,1,solid,1,.,2
182,Iteration 182,FALSE,Iteration 182,FALSE,black,1,1,solid,1,.,2
183,Iteration 183,FALSE,Iteration 183,FALSE,black,1,1,solid,1,.,2
184,Iteration 184,FALSE,Iteration 184,FALSE,black,1,1,solid,1,.,2
185,Iteration 185,FALSE,Iteration 185,FALSE,black,1,1,solid,1,.,2
186,Iteration 186,FALSE,Iteration 186,FALSE,black,1,1,solid,1,.,2
187,Iteration 187,FALSE,Iteration 187,FALSE,black,1,1,solid,1,.,2
188,Iteration 188,FALSE,Iteration 188,FALSE,black,1,1,solid,1,.,2
189,Iteration 189,FALSE,Iteration 189,FALSE,black,1,1,solid,1,.,2
190,Iteration 190,FALSE,Iteration 190,FALSE,black,1,1,solid,1,.,2
191,Iteration 191,FALSE,Iteration 191,FALSE,black,1,1,solid,1,.,2
192,Iteration 192,FALSE,Iteration 192,FALSE,black,1,1,solid,1,.,2
193,Iteration 193,FALSE,Iteration 193,FALSE,black,1,1,solid,1,.,2
194,Iteration 194,FALSE,Iteration 194,FALSE,black,1,1,solid,1,.,2
195,Iteration 195,FALSE,Iteration 195,FALSE,black,1,1,solid,1,.,2
196,Iteration 196,FALSE,Iteration 196,FALSE,black,1,1,solid,1,.,2
197,Iteration 197,FALSE,Iteration 197,FALSE,black,1,1,solid,1,.,2
198,Iteration 198,FALSE,Iteration 198,FALSE,black,1,1,solid,1,.,2
199,Iteration 199,FALSE,Iteration 199,FALSE,black,1,1,solid,1,.,2
200,Iteration 200,FALSE,Iteration 200,FALSE,black,1,1,solid,1,.,2
201,Iteration 201,FALSE,Iteration 201,FALSE,black,1,1,solid,1,.,2
202,Iteration 202,FALSE,Iteration 202,FALSE,black,1,1,solid,1,.,2
203,Iteration 203,FALSE,Iteration 203,FALSE,black,1,1,solid,1,.,2
204,Iteration 204,FALSE,Iteration 204,FALSE,black,1,1,solid,1,.,2
205,Iteration 205,FALSE,Iteration 205,FALSE,black,1,1,solid,1,.,2
206,Iteration 206,FALSE,Iteration 206,FALSE,black,1,1,solid,1,.,2
207,Iteration 207,FALSE,Iteration 207,FALSE,black,1,1,solid,1,.,2
208,Iteration 208,FALSE,Iteration 208,FALSE,black,1,1,solid,1,.,2
209,Iteration 209,FALSE,Iteration 209,FALSE,black,1,1,solid,1,.,2
210,Iteration 210,FALSE,Iteration 210,FALSE,black,1,1,solid,1,.,2
211,Iteration 211,FALSE,Iteration 211,FALSE,black,1,1,solid,1,.,2
212,Iteration 212,FALSE,Iteration 212,FALSE,black,1,1,solid,1,.,2
213,Iteration 213,FALSE,Iteration 213,FALSE,black,1,1,solid,1,.,2
214,Iteration 214,FALSE,Iteration 214,FALSE,black,1,1,solid,1,.,2
215,Iteration 215,FALSE,Iteration 215,FALSE,black,1,1,solid,1,.,2
216,Iteration 216,FALSE,Iteration 216,FALSE,black,1,1,solid,1,.,2
217,Iteration 217,FALSE,Iteration 217,FALSE,black,1,1,solid,1,.,2
218,Iteration 218,FALSE,Iteration 218,FALSE,black,1,1,solid,1,.,2
219,Iteration 219,FALSE,Iteration 219,FALSE,black,1,1,solid,1,.,2
220,Iteration 220,FALSE,Iteration 220,FALSE,black,1,1,solid,1,.,2
221,Iteration 221,FALSE,Iteration 221,FALSE,black,1,1,solid,1,.,2
222,Iteration 222,FALSE,Iteration 222,FALSE,black,1,1,solid,1,.,2
223,Iteration 223,FALSE,Iteration 223,FALSE,black,1,1,solid,1,.,2
224,Iteration 224,FALSE,Iteration 224,FALSE,black,1,1,solid,1,.,2
225,Iteration 225,FALSE,Iteration 225,FALSE,black,1,1,solid,1,.,2
226,Iteration 226,FALSE,Iteration 226,FALSE,black,1,1,solid,1,.,2
227,Iteration 227,FALSE,Iteration 227,FALSE,black,1,1,solid,1,.,2
228,Iteration 228,FALSE,Iteration 228,FALSE,black,1,1,solid,1,.,2
229,Iteration 229,FALSE,Iteration 229,FALSE,black,1,1,solid,1,.,2
230,Iteration 230,FALSE,Iteration 230,FALSE,black,1,1,solid,1,.,2
231,Iteration 231,FALSE,Iteration 231,FALSE,black,1,1,solid,1,.,2
232,Iteration 232,FALSE,Iteration 232,FALSE,black,1,1,solid,1,.,2
233,Iteration 233,FALSE,Iteration 233,FALSE,black,1,1,solid,1,.,2
234,Iteration 234,FALSE,Iteration 234,FALSE,black,1,1,solid,1,.,2
235,Iteration 235,FALSE,Iteration 235,FALSE,black,1,1,solid,1,.,2
236,Iteration 236,FALSE,Iteration 236,FALSE,black,1,1,solid,1,.,2
237,Iteration 237,FALSE,Iteration 237,FALSE,black,1,1,solid,1,.,2
238,Iteration 238,FALSE,Iteration 238,FALSE,black,1,1,solid,1,.,2
239,Iteration 239,FALSE,Iteration 239,FALSE,black,1,1,solid,1,.,2
240,Iteration 240,FALSE,Iteration 240,FALSE,black,1,1,solid,1,.,2
241,Iteration 241,FALSE,Iteration 241,FALSE,black,1,1,solid,1,.,2
242,Iteration 242,FALSE,Iteration 242,FALSE,black,1,1,solid,1,.,2
243,Iteration 243,FALSE,Iteration 243,FALSE,black,1,1,solid,1,.,2
244,Iteration 244,FALSE,Iteration 244,FALSE,black,1,1,solid,1,.,2
245,Iteration 245,FALSE,Iteration 245,FALSE,black,1,1,solid,1,.,2
246,Iteration 246,FALSE,Iteration 246,FALSE,black,1,1,solid,1,.,2
247,Iteration 247,FALSE,Iteration 247,FALSE,black,1,1,solid,1,.,2
248,Iteration 248,FALSE,Iteration 248,FALSE,black,1,1,solid,1,.,2
249,Iteration 249,FALSE,Iteration 249,FALSE,black,1,1,solid,1,.,2
250,Iteration 250,FALSE,Iteration 250,FALSE,black,1,1,solid,1,.,2
251,Iteration 251,FALSE,Iteration 251,FALSE,black,1,1,solid,1,.,2
252,Iteration 252,FALSE,Iteration 252,FALSE,black,1,1,solid,1,.,2
253,Iteration 253,FALSE,Iteration 253,FALSE,black,1,1,solid,1,.,2
254,Iteration 254,FALSE,Iteration 254,FALSE,black,1,1,solid,1,.,2
255,Iteration 255,FALSE,Iteration 255,FALSE,black,1,1,solid,1,.,2
256,Iteration 256,FALSE,Iteration 256,FALSE,black,1,1,solid,1,.,2
257,Iteration 257,FALSE,Iteration 257,FALSE,black,1,1,solid,1,.,2
258,Iteration 258,FALSE,Iteration 258,FALSE,black,1,1,solid,1,.,2
259,Iteration 259,FALSE,Iteration 259,FALSE,black,1,1,solid,1,.,2
260,Iteration 260,FALSE,Iteration 260,FALSE,black,1,1,solid,1,.,2
261,Iteration 261,FALSE,Iteration 261,FALSE,black,1,1,solid,1,.,2
262,Iteration 262,FALSE,Iteration 262,FALSE,black,1,1,solid,1,.,2
263,Iteration 263,FALSE,Iteration 263,FALSE,black,1,1,solid,1,.,2
264,Iteration 264,FALSE,Iteration 264,FALSE,black,1,1,solid,1,.,2
265,Iteration 265,FALSE,Iteration 265,FALSE,black,1,1,solid,1,.,2
266,Iteration 266,FALSE,Iteration 266,FALSE,black,1,1,solid,1,.,2
267,Iteration 267,FALSE,Iteration 267,FALSE,black,1,1,solid,1,.,2
268,Iteration 268,FALSE,Iteration 268,FALSE,black,1,1,solid,1,.,2
269,Iteration 269,FALSE,Iteration 269,FALSE,black,1,1,solid,1,.,2
270,Iteration 270,FALSE,Iteration 270,FALSE,black,1,1,solid,1,.,2
271,Iteration 271,FALSE,Iteration 271,FALSE,black,1,1,solid,1,.,2
272,Iteration 272,FALSE,Iteration 272,FALSE,black,1,1,solid,1,.,2
273,Iteration 273,FALSE,Iteration 273,FALSE,black,1,1,solid,1,.,2
274,Iteration 274,FALSE,Iteration 274,FALSE,black,1,1,solid,1,.,2
275,Iteration 275,FALSE,Iteration 275,FALSE,black,1,1,solid,1,.,2
276,Iteration 276,FALSE,Iteration 276,FALSE,black,1,1,solid,1,.,2
277,Iteration 277,FALSE,Iteration 277,FALSE,black,1,1,solid,1,.,2
278,Iteration 278,FALSE,Iteration 278,FALSE,black,1,1,solid,1,.,2
279,Iteration 279,FALSE,Iteration 279,FALSE,black,1,1,solid,1,.,2
280,Iteration 280,FALSE,Iteration 280,FALSE,black,1,1,solid,1,.,2
281,Iteration 281,FALSE,Iteration 281,FALSE,black,1,1,solid,1,.,2
282,Iteration 282,FALSE,Iteration 282,FALSE,black,1,1,solid,1,.,2
283,Iteration 283,FALSE,Iteration 283,FALSE,black,1,1,solid,1,.,2
284,Iteration 284,FALSE,Iteration 284,FALSE,black,1,1,solid,1,.,2
285,Iteration 285,FALSE,Iteration 285,FALSE,black,1,1,solid,1,.,2
286,Iteration 286,FALSE,Iteration 286,FALSE,black,1,1,solid,1,.,2
287,Iteration 287,FALSE,Iteration 287,FALSE,black,1,1,solid,1,.,2
288,Iteration 288,FALSE,Iteration 288,FALSE,black,1,1,solid,1,.,2
289,Iteration 289,FALSE,Iteration 289,FALSE,black,1,1,solid,1,.,2
290,Iteration 290,FALSE,Iteration 290,FALSE,black,1,1,solid,1,.,2
291,Iteration 291,FALSE,Iteration 291,FALSE,black,1,1,solid,1,.,2
292,Iteration 292,FALSE,Iteration 292,FALSE,black,1,1,solid,1,.,2
293,Iteration 293,FALSE,Iteration 293,FALSE,black,1,1,solid,1,.,2
294,Iteration 294,FALSE,Iteration 294,FALSE,black,1,1,solid,1,.,2
295,Iteration 295,FALSE,Iteration 295,FALSE,black,1,1,solid,1,.,2
296,Iteration 296,FALSE,Iteration 296,FALSE,black,1,1,solid,1,.,2
297,Iteration 297,FALSE,Iteration 297,FALSE,black,1,1,solid,1,.,2
298,Iteration 298,FALSE,Iteration 298,FALSE,black,1,1,solid,1,.,2
299,Iteration 299,FALSE,Iteration 299,FALSE,black,1,1,solid,1,.,2
300,Iteration 300,FALSE,Iteration 300,FALSE,black,1,1,solid,1,.,2
301,Iteration 301,FALSE,Iteration 301,FALSE,black,1,1,solid,1,.,2
302,Iteration 302,FALSE,Iteration 302,FALSE,black,1,1,solid,1,.,2
303,Iteration 303,FALSE,Iteration 303,FALSE,black,1,1,solid,1,.,2
304,Iteration 304,FALSE,Iteration 304,FALSE,black,1,1,solid,1,.,2
305,Iteration 305,FALSE,Iteration 305,FALSE,black,1,1,solid,1,.,2
306,Iteration 306,FALSE,Iteration 306,FALSE,black,1,1,solid,1,.,2
307,Iteration 307,FALSE,Iteration 307,FALSE,black,1,1,solid,1,.,2
308,Iteration 308,FALSE,Iteration 308,FALSE,black,1,1,solid,1,.,2
309,Iteration 309,FALSE,Iteration 309,FALSE,black,1,1,solid,1,.,2
310,Iteration 310,FALSE,Iteration 310,FALSE,black,1,1,solid,1,.,2
311,Iteration 311,FALSE,Iteration 311,FALSE,black,1,1,solid,1,.,2
312,Iteration 312,FALSE,Iteration 312,FALSE,black,1,1,solid,1,.,2
313,Iteration 313,FALSE,Iteration 313,FALSE,black,1,1,solid,1,.,2
314,Iteration 314,FALSE,Iteration 314,FALSE,black,1,1,solid,1,.,2
315,Iteration 315,FALSE,Iteration 315,FALSE,black,1,1,solid,1,.,2
316,Iteration 316,FALSE,Iteration 316,FALSE,black,1,1,solid,1,.,2
317,Iteration 317,FALSE,Iteration 317,FALSE,black,1,1,solid,1,.,2
318,Iteration 318,FALSE,Iteration 318,FALSE,black,1,1,solid,1,.,2
319,Iteration 319,FALSE,Iteration 319,FALSE,black,1,1,solid,1,.,2
320,Iteration 320,FALSE,Iteration 320,FALSE,black,1,1,solid,1,.,2
321,Iteration 321,FALSE,Iteration 321,FALSE,black,1,1,solid,1,.,2
322,Iteration 322,FALSE,Iteration 322,FALSE,black,1,1,solid,1,.,2
323,Iteration 323,FALSE,Iteration 323,FALSE,black,1,1,solid,1,.,2
324,Iteration 324,FALSE,Iteration 324,FALSE,black,1,1,solid,1,.,2
325,Iteration 325,FALSE,Iteration 325,FALSE,black,1,1,solid,1,.,2
326,Iteration 326,FALSE,Iteration 326,FALSE,black,1,1,solid,1,.,2
327,Iteration 327,FALSE,Iteration 327,FALSE,black,1,1,solid,1,.,2
328,Iteration 328,FALSE,Iteration 328,FALSE,black,1,1,solid,1,.,2
329,Iteration 329,FALSE,Iteration 329,FALSE,black,1,1,solid,1,.,2
330,Iteration 330,FALSE,Iteration 330,FALSE,black,1,1,solid,1,.,2
331,Iteration 331,FALSE,Iteration 331,FALSE,black,1,1,solid,1,.,2
332,Iteration 332,FALSE,Iteration 332,FALSE,black,1,1,solid,1,.,2
333,Iteration 333,FALSE,Iteration 333,FALSE,black,1,1,solid,1,.,2
334,Iteration 334,FALSE,Iteration 334,FALSE,black,1,1,solid,1,.,2
335,Iteration 335,FALSE,Iteration 335,FALSE,black,1,1,solid,1,.,2
336,Iteration 336,FALSE,Iteration 336,FALSE,black,1,1,solid,1,.,2
337,Iteration 337,FALSE,Iteration 337,FALSE,black,1,1,solid,1,.,2
338,Iteration 338,FALSE,Iteration 338,FALSE,black,1,1,solid,1,.,2
339,Iteration 339,FALSE,Iteration 339,FALSE,black,1,1,solid,1,.,2
340,Iteration 340,FALSE,Iteration 340,FALSE,black,1,1,solid,1,.,2
341,Iteration 341,FALSE,Iteration 341,FALSE,black,1,1,solid,1,.,2
342,Iteration 342,FALSE,Iteration 342,FALSE,black,1,1,solid,1,.,2
343,Iteration 343,FALSE,Iteration 343,FALSE,black,1,1,solid,1,.,2
344,Iteration 344,FALSE,Iteration 344,FALSE,black,1,1,solid,1,.,2
345,Iteration 345,FALSE,Iteration 345,FALSE,black,1,1,solid,1,.,2
346,Iteration 346,FALSE,Iteration 346,FALSE,black,1,1,solid,1,.,2
347,Iteration 347,FALSE,Iteration 347,FALSE,black,1,1,solid,1,.,2
348,Iteration 348,FALSE,Iteration 348,FALSE,black,1,1,solid,1,.,2
349,Iteration 349,FALSE,Iteration 349,FALSE,black,1,1,solid,1,.,2
350,Iteration 350,FALSE,Iteration 350,FALSE,black,1,1,solid,1,.,2
351,Iteration 351,FALSE,Iteration 351,FALSE,black,1,1,solid,1,.,2
352,Iteration 352,FALSE,Iteration 352,FALSE,black,1,1,solid,1,.,2
353,Iteration 353,FALSE,Iteration 353,FALSE,black,1,1,solid,1,.,2
354,Iteration 354,FALSE,Iteration 354,FALSE,black,1,1,solid,1,.,2
355,Iteration 355,FALSE,Iteration 355,FALSE,black,1,1,solid,1,.,2
356,Iteration 356,FALSE,Iteration 356,FALSE,black,1,1,solid,1,.,2
357,Iteration 357,FALSE,Iteration 357,FALSE,black,1,1,solid,1,.,2
358,Iteration 358,FALSE,Iteration 358,FALSE,black,1,1,solid,1,.,2
359,Iteration 359,FALSE,Iteration 359,FALSE,black,1,1,solid,1,.,2
360,Iteration 360,FALSE,Iteration 360,FALSE,black,1,1,solid,1,.,2
361,Iteration 361,FALSE,Iteration 361,FALSE,black,1,1,solid,1,.,2
362,Iteration 362,FALSE,Iteration 362,FALSE,black,1,1,solid,1,.,2
363,Iteration 363,FALSE,Iteration 363,FALSE,black,1,1,solid,1,.,2
364,Iteration 364,FALSE,Iteration 364,FALSE,black,1,1,solid,1,.,2
365,Iteration 365,FALSE,Iteration 365,FALSE,black,1,1,solid,1,.,2
366,Iteration 366,FALSE,Iteration 366,FALSE,black,1,1,solid,1,.,2
367,Iteration 367,FALSE,Iteration 367,FALSE,black,1,1,solid,1,.,2
368,Iteration 368,FALSE,Iteration 368,FALSE,black,1,1,solid,1,.,2
369,Iteration 369,FALSE,Iteration 369,FALSE,black,1,1,solid,1,.,2
370,Iteration 370,FALSE,Iteration 370,FALSE,black,1,1,solid,1,.,2
371,Iteration 371,FALSE,Iteration 371,FALSE,black,1,1,solid,1,.,2
372,Iteration 372,FALSE,Iteration 372,FALSE,black,1,1,solid,1,.,2
373,Iteration 373,FALSE,Iteration 373,FALSE,black,1,1,solid,1,.,2
374,Iteration 374,FALSE,Iteration 374,FALSE,black,1,1,solid,1,.,2
375,Iteration 375,FALSE,Iteration 375,FALSE,black,1,1,solid,1,.,2
376,Iteration 376,FALSE,Iteration 376,FALSE,black,1,1,solid,1,.,2
377,Iteration 377,FALSE,Iteration 377,FALSE,black,1,1,solid,1,.,2
378,Iteration 378,FALSE,Iteration 378,FALSE,black,1,1,solid,1,.,2
379,Iteration 379,FALSE,Iteration 379,FALSE,black,1,1,solid,1,.,2
380,Iteration 380,FALSE,Iteration 380,FALSE,black,1,1,solid,1,.,2
381,Iteration 381,FALSE,Iteration 381,FALSE,black,1,1,solid,1,.,2
382,Iteration 382,FALSE,Iteration 382,FALSE,black,1,1,solid,1,.,2
383,Iteration 383,FALSE,Iteration 383,FALSE,black,1,1,solid,1,.,2
384,Iteration 384,FALSE,Iteration 384,FALSE,black,1,1,solid,1,.,2
385,Iteration 385,FALSE,Iteration 385,FALSE,black,1,1,solid,1,.,2
386,Iteration 386,FALSE,Iteration 386,FALSE,black,1,1,solid,1,.,2
387,Iteration 387,FALSE,Iteration 387,FALSE,black,1,1,solid,1,.,2
388,Iteration 388,FALSE,Iteration 388,FALSE,black,1,1,solid,1,.,2
389,Iteration 389,FALSE,Iteration 389,FALSE,black,1,1,solid,1,.,2
390,Iteration 390,FALSE,Iteration 390,FALSE,black,1,1,solid,1,.,2
391,Iteration 391,FALSE,Iteration 391,FALSE,black,1,1,solid,1,.,2
392,Iteration 392,FALSE,Iteration 392,FALSE,black,1,1,solid,1,.,2
393,Iteration 393,FALSE,Iteration 393,FALSE,black,1,1,solid,1,.,2
394,Iteration 394,FALSE,Iteration 394,FALSE,black,1,1,solid,1,.,2
395,Iteration 395,FALSE,Iteration 395,FALSE,black,1,1,solid,1,.,2
396,Iteration 396,FALSE,Iteration 396,FALSE,black,1,1,solid,1,.,2
397,Iteration 397,FALSE,Iteration 397,FALSE,black,1,1,solid,1,.,2
398,Iteration 398,FALSE,Iteration 398,FALSE,black,1,1,solid,1,.,2
399,Iteration 399,FALSE,Iteration 399,FALSE,black,1,1,solid,1,.,2
400,Iteration 400,FALSE,Iteration 400,FALSE,black,1,1,solid,1,.,2
401,Iteration 401,FALSE,Iteration 401,FALSE,black,1,1,solid,1,.,2
402,Iteration 402,FALSE,Iteration 402,FALSE,black,1,1,solid,1,.,2
403,Iteration 403,FALSE,Iteration 403,FALSE,black,1,1,solid,1,.,2
404,Iteration 404,FALSE,Iteration 404,FALSE,black,1,1,solid,1,.,2
405,Iteration 405,FALSE,Iteration 405,FALSE,black,1,1,solid,1,.,2
406,Iteration 406,FALSE,Iteration 406,FALSE,black,1,1,solid,1,.,2
407,Iteration 407,FALSE,Iteration 407,FALSE,black,1,1,solid,1,.,2
408,Iteration 408,FALSE,Iteration 408,FALSE,black,1,1,solid,1,.,2
409,Iteration 409,FALSE,Iteration 409,FALSE,black,1,1,solid,1,.,2
410,Iteration 410,FALSE,Iteration 410,FALSE,black,1,1,solid,1,.,2
411,Iteration 411,FALSE,Iteration 411,FALSE,black,1,1,solid,1,.,2
412,Iteration 412,FALSE,Iteration 412,FALSE,black,1,1,solid,1,.,2
413,Iteration 413,FALSE,Iteration 413,FALSE,black,1,1,solid,1,.,2
414,Iteration 414,FALSE,Iteration 414,FALSE,black,1,1,solid,1,.,2
415,Iteration 415,FALSE,Iteration 415,FALSE,black,1,1,solid,1,.,2
416,Iteration 416,FALSE,Iteration 416,FALSE,black,1,1,solid,1,.,2
417,Iteration 417,FALSE,Iteration 417,FALSE,black,1,1,solid,1,.,2
418,Iteration 418,FALSE,Iteration 418,FALSE,black,1,1,solid,1,.,2
419,Iteration 419,FALSE,Iteration 419,FALSE,black,1,1,solid,1,.,2
420,Iteration 420,FALSE,Iteration 420,FALSE,black,1,1,solid,1,.,2
421,Iteration 421,FALSE,Iteration 421,FALSE,black,1,1,solid,1,.,2
422,Iteration 422,FALSE,Iteration 422,FALSE,black,1,1,solid,1,.,2
423,Iteration 423,FALSE,Iteration 423,FALSE,black,1,1,solid,1,.,2
424,Iteration 424,FALSE,Iteration 424,FALSE,black,1,1,solid,1,.,2
425,Iteration 425,FALSE,Iteration 425,FALSE,black,1,1,solid,1,.,2
426,Iteration 426,FALSE,Iteration 426,FALSE,black,1,1,solid,1,.,2
427,Iteration 427,FALSE,Iteration 427,FALSE,black,1,1,solid,1,.,2
428,Iteration 428,FALSE,Iteration 428,FALSE,black,1,1,solid,1,.,2
429,Iteration 429,FALSE,Iteration 429,FALSE,black,1,1,solid,1,.,2
430,Iteration 430,FALSE,Iteration 430,FALSE,black,1,1,solid,1,.,2
431,Iteration 431,FALSE,Iteration 431,FALSE,black,1,1,solid,1,.,2
432,Iteration 432,FALSE,Iteration 432,FALSE,black,1,1,solid,1,.,2
433,Iteration 433,FALSE,Iteration 433,FALSE,black,1,1,solid,1,.,2
434,Iteration 434,FALSE,Iteration 434,FALSE,black,1,1,solid,1,.,2
435,Iteration 435,FALSE,Iteration 435,FALSE,black,1,1,solid,1,.,2
436,Iteration 436,FALSE,Iteration 436,FALSE,black,1,1,solid,1,.,2
437,Iteration 437,FALSE,Iteration 437,FALSE,black,1,1,solid,1,.,2
438,Iteration 438,FALSE,Iteration 438,FALSE,black,1,1,solid,1,.,2
439,Iteration 439,FALSE,Iteration 439,FALSE,black,1,1,solid,1,.,2
440,Iteration 440,FALSE,Iteration 440,FALSE,black,1,1,solid,1,.,2
441,Iteration 441,FALSE,Iteration 441,FALSE,black,1,1,solid,1,.,2
442,Iteration 442,FALSE,Iteration 442,FALSE,black,1,1,solid,1,.,2
443,Iteration 443,FALSE,Iteration 443,FALSE,black,1,1,solid,1,.,2
444,Iteration 444,FALSE,Iteration 444,FALSE,black,1,1,solid,1,.,2
445,Iteration 445,FALSE,Iteration 445,FALSE,black,1,1,solid,1,.,2
446,Iteration 446,FALSE,Iteration 446,FALSE,black,1,1,solid,1,.,2
447,Iteration 447,FALSE,Iteration 447,FALSE,black,1,1,solid,1,.,2
448,Iteration 448,FALSE,Iteration 448,FALSE,black,1,1,solid,1,.,2
449,Iteration 449,FALSE,Iteration 449,FALSE,black,1,1,solid,1,.,2
450,Iteration 450,FALSE,Iteration 450,FALSE,black,1,1,solid,1,.,2
451,Iteration 451,FALSE,Iteration 451,FALSE,black,1,1,solid,1,.,2
452,Iteration 452,FALSE,Iteration 452,FALSE,black,1,1,solid,1,.,2
453,Iteration 453,FALSE,Iteration 453,FALSE,black,1,1,solid,1,.,2
454,Iteration 454,FALSE,Iteration 454,FALSE,black,1,1,solid,1,.,2
455,Iteration 455,FALSE,Iteration 455,FALSE,black,1,1,solid,1,.,2
456,Iteration 456,FALSE,Iteration 456,FALSE,black,1,1,solid,1,.,2
457,Iteration 457,FALSE,Iteration 457,FALSE,black,1,1,solid,1,.,2
458,Iteration 458,FALSE,Iteration 458,FALSE,black,1,1,solid,1,.,2
459,Iteration 459,FALSE,Iteration 459,FALSE,black,1,1,solid,1,.,2
460,Iteration 460,FALSE,Iteration 460,FALSE,black,1,1,solid,1,.,2
461,Iteration 461,FALSE,Iteration 461,FALSE,black,1,1,solid,1,.,2
462,Iteration 462,FALSE,Iteration 462,FALSE,black,1,1,solid,1,.,2
463,Iteration 463,FALSE,Iteration 463,FALSE,black,1,1,solid,1,.,2
464,Iteration 464,FALSE,Iteration 464,FALSE,black,1,1,solid,1,.,2
465,Iteration 465,FALSE,Iteration 465,FALSE,black,1,1,solid,1,.,2
466,Iteration 466,FALSE,Iteration 466,FALSE,black,1,1,solid,1,.,2
467,Iteration 467,FALSE,Iteration 467,FALSE,black,1,1,solid,1,.,2
468,Iteration 468,FALSE,Iteration 468,FALSE,black,1,1,solid,1,.,2
469,Iteration 469,FALSE,Iteration 469,FALSE,black,1,1,solid,1,.,2
470,Iteration 470,FALSE,Iteration 470,FALSE,black,1,1,solid,1,.,2
471,Iteration 471,FALSE,Iteration 471,FALSE,black,1,1,solid,1,.,2
472,Iteration 472,FALSE,Iteration 472,FALSE,black,1,1,solid,1,.,2
473,Iteration 473,FALSE,Iteration 473,FALSE,black,1,1,solid,1,.,2
474,Iteration 474,FALSE,Iteration 474,FALSE,black,1,1,solid,1,.,2
475,Iteration 475,FALSE,Iteration 475,FALSE,black,1,1,solid,1,.,2
476,Iteration 476,FALSE,Iteration 476,FALSE,black,1,1,solid,1,.,2
477,Iteration 477,FALSE,Iteration 477,FALSE,black,1,1,solid,1,.,2
478,Iteration 478,FALSE,Iteration 478,FALSE,black,1,1,solid,1,.,2
479,Iteration 479,FALSE,Iteration 479,FALSE,black,1,1,solid,1,.,2
480,Iteration 480,FALSE,Iteration 480,FALSE,black,1,1,solid,1,.,2
481,Iteration 481,FALSE,Iteration 481,FALSE,black,1,1,solid,1,.,2
482,Iteration 482,FALSE,Iteration 482,FALSE,black,1,1,solid,1,.,2
483,Iteration 483,FALSE,Iteration 483,FALSE,black,1,1,solid,1,.,2
484,Iteration 484,FALSE,Iteration 484,FALSE,black,1,1,solid,1,.,2
485,Iteration 485,FALSE,Iteration 485,FALSE,black,1,1,solid,1,.,2
486,Iteration 486,FALSE,Iteration 486,FALSE,black,1,1,solid,1,.,2
487,Iteration 487,FALSE,Iteration 487,FALSE,black,1,1,solid,1,.,2
488,Iteration 488,FALSE,Iteration 488,FALSE,black,1,1,solid,1,.,2
489,Iteration 489,FALSE,Iteration 489,FALSE,black,1,1,solid,1,.,2
490,Iteration 490,FALSE,Iteration 490,FALSE,black,1,1,solid,1,.,2
491,Iteration 491,FALSE,Iteration 491,FALSE,black,1,1,solid,1,.,2
492,Iteration 492,FALSE,Iteration 492,FALSE,black,1,1,solid,1,.,2
493,Iteration 493,FALSE,Iteration 493,FALSE,black,1,1,solid,1,.,2
494,Iteration 494,FALSE,Iteration 494,FALSE,black,1,1,solid,1,.,2
495,Iteration 495,FALSE,Iteration 495,FALSE,black,1,1,solid,1,.,2
496,Iteration 496,FALSE,Iteration 496,FALSE,black,1,1,solid,1,.,2
497,Iteration 497,FALSE,Iteration 497,FALSE,black,1,1,solid,1,.,2
498,Iteration 498,FALSE,Iteration 498,FALSE,black,1,1,solid,1,.,2
